04/01/2017 05:40:51.59 [Verbose] Ignore Action: New:config.Copy(Config:\User\Common\SCTLCRC.XML), 2000. MD5 check is identical!
04/01/2017 05:40:51.59 [Verbose] Ignore Action: New:config.Copy(Config:\User\Common\ibspci.xml), 2000. MD5 check is identical!
04/01/2017 05:40:51.61 [Verbose] Ignore Action: New:config.Copy(Config:\User\Common\PNIODriver.xml), 2000. MD5 check is identical!
04/01/2017 05:40:51.61 [Warning] Ignore SafetyConfigParamAction: Copy "C:\KRC\ROBOTER\Config\User\Common\SCTLPARA.SAF". Param header and content check states identical data!
04/01/2017 05:40:51.61 [Information] SafetyParamInfoAction 'New:safety.Copy(Config:\User\Common\SCTLINFO.SAF), 2000': Ignored since safety parameter file is ignored too.
04/01/2017 05:40:51.61 [Verbose] Ignore Action: New:config.Copy(Config:\User\Common\IPPNIO.xml), 2000. MD5 check is identical!
04/01/2017 05:40:51.64 [Information] SafetyNetworkInstallAction 'New:safety.Copy(Config:\User\Common\SAFEDEV.SAF), 2000': Checksum is identical.
04/01/2017 05:40:51.65 [Warning] Ignore SafetyNetworkInstallAction: Copy "C:\KRC\ROBOTER\Config\User\Common\SAFEDEV.SAF". Header and content check states identical data!
04/01/2017 05:40:51.65 [Warning] Ignore SafetyConfigParamAction: Copy "C:\KRC\ROBOTER\Config\User\Common\SCTLPARA.SAF". Param header and content check states identical data!
04/01/2017 05:40:51.65 [Verbose] Ignore Action: New:config.Copy(Config:\User\Common\New Folder\CabCtrl.xml), 2000. MD5 check is identical!
04/01/2017 05:40:51.65 [Verbose] Ignore Action: New:config.Copy(Config:\User\Common\P1390R6.D32), 2000. MD5 check is identical!
04/01/2017 05:40:51.67 [Verbose] Ignore Action: New:config.Copy(Config:\User\Common\New Folder\USERPDI.SAF), 2000. MD5 check is identical!
